2016 US Presidential Election, Trump, Clinton, Other, from Politico.com
Adams,5983,3780,344,
Ashland,3428,4136,362,
Barron,13595,7881,1038,
Bayfield,4125,4953,413,
Brown,67192,53358,6947,
Buffalo,4049,2531,341,
Burnett,5412,2948,359,
Calumet,15345,9634,1450,
Chippewa,17912,11875,1684,
Clark,8645,4225,678,
Columbia,14160,13525,1602,
Crawford,3844,3426,408,
Dane,71270,217506,15953,
Dodge,26643,13968,2207,
Door,8584,8026,788,
Douglas,9657,11342,1186,
Dunn,11487,9025,1517,
Eau Claire,23301,27271,3508,
Florence,1897,666,88,
Fond du Lac,31044,17391,2659,
Forest,2787,2583,137,
Grant,12347,10047,1657,
Green,8693,9121,977,
Green Lake,6210,2700,405,
Iowa,4809,6669,645,
Iron,2090,1273,114,
Jackson,4907,3821,474,
Jefferson,23409,16559,2356,
Juneau,7188,4100,448,
Kenosha,36025,35770,4030,
Kewaunee,6616,3623,503,
La Crosse,26384,32402,3999,
Lafayette,3977,3288,337,
Langlade,6436,3260,397,
Lincoln,8400,5370,793,
Manitowoc,23234,14563,2194,
Marathon,39010,26476,3363,
Marinette,12995,6243,741,
Marquette,4712,2808,293,
Menominee,269,1003,7,
Milwaukee,126091,288986,19893,
Monroe,11442,7047,1065,
Oconto,13255,5886,783,
Oneida,11677,8103,1057,
Outagamie,51579,38117,5466,
Ozaukee,30458,20167,2743,
Pepin,2228,1345,173,
Pierce,11260,8380,1449,
Polk,13864,7568,1259,
Portage,17310,18524,2289,
Price,4562,2671,330,
Racine,46620,42506,4552,
Richland,4021,3577,364,
Rock,31483,39336,4224,
Rusk,4564,2171,294,
St. Croix,26123,17496,2300,
Sauk,15871,16050,1927,
Sawyer,4625,2846,296,
Shawano,12742,6056,899,
Sheboygan,32368,22636,3286,
Taylor,6589,2398,430,
Trempealeau,7370,5645,566,
Vernon,6994,6351,848,
Vilas,8169,4769,515,
Walworth,28848,18706,3016,
Washburn,5404,3283,372,
Washington,51729,20854,3663,
Waukesha,145519,79199,11551,
Waupaca,16013,8303,1175,
Waushara,7669,3802,490,
Winnebago,43447,37054,5391,
Wood,21502,14232,1978,
